,saved_model,model,loss,accuracy,gauss_noise
0,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.4748015582561493,0.8949275612831116,0.001
1,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.46373299062252044,0.8992753863334656,0.0014677992676220691
2,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.4408309251070023,0.8920290112495423,0.0021544346900318843
3,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.422291898727417,0.9050724864006042,0.0031622776601683794
4,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.41412405073642733,0.9014492988586426,0.004641588833612777
5,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.390451517701149,0.9028985738754273,0.006812920690579608
6,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.38368862569332124,0.8978261113166809,0.01
7,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.3925914794206619,0.8920290112495423,0.01467799267622069
8,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.4277069061994553,0.8855072736740113,0.021544346900318832
9,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.4948888748884201,0.8731884360313416,0.03162277660168379
10,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.622901514172554,0.8413043856620789,0.046415888336127774
11,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,0.8656536400318146,0.7833333373069763,0.06812920690579612
12,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,1.1833731651306152,0.6985507369041443,0.1
13,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,1.7983100652694701,0.5898550868034362,0.1467799267622069
14,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,2.4980637073516845,0.42826088070869445,0.21544346900318823
15,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,3.70224769115448,0.24855072498321534,0.31622776601683794
16,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,4.67239465713501,0.0942029006779194,0.46415888336127775
17,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,5.470567607879639,0.02753623202443123,0.6812920690579608
18,InceptionV3_aug40_(2023-05-11)_2,InceptionV3,5.926423692703247,0.007246376946568489,1.0
19,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8123463273048401,0.8543478608131408,0.001
20,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8184491872787476,0.8521739482879639,0.0014677992676220691
21,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8219965517520904,0.8507246732711792,0.0021544346900318843
22,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8185446381568908,0.8478261232376099,0.0031622776601683794
23,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8323827624320984,0.8485507607460022,0.004641588833612777
24,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8517037332057953,0.8384058356285096,0.006812920690579608
25,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.8610270023345947,0.8246377170085907,0.01
26,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.9084204733371735,0.8173913359642029,0.01467799267622069
27,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,0.9355996191501618,0.8050724804401398,0.021544346900318832
28,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.021992129087448,0.778260862827301,0.03162277660168379
29,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.1064406991004945,0.7731884002685547,0.046415888336127774
30,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.2706227064132691,0.741304349899292,0.06812920690579612
31,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.4825985074043273,0.7253623247146607,0.1
32,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,1.8245402812957763,0.6550724864006042,0.1467799267622069
33,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,2.5673491954803467,0.5275362253189086,0.21544346900318823
34,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,3.5671039819717407,0.37826087474823,0.31622776601683794
35,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,4.728256797790527,0.24855072498321534,0.46415888336127775
36,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,5.6374006271362305,0.16159420758485793,0.6812920690579608
37,InceptionV3_aug40_(2023-05-12)_0,InceptionV3,6.411238813400269,0.11594202965497971,1.0
38,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.5811647951602936,0.8847826361656189,0.001
39,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.5787300288677215,0.8811594486236572,0.0014677992676220691
40,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.5923799932003021,0.8804348111152649,0.0021544346900318843
41,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.5922958970069885,0.8847826361656189,0.0031622776601683794
42,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.6110020399093627,0.8826087236404419,0.004641588833612777
43,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.6476842284202575,0.8746377110481263,0.006812920690579608
44,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.6512889742851258,0.8731884360313416,0.01
45,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.6725153505802155,0.8615942358970642,0.01467799267622069
46,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.7144486665725708,0.8478261232376099,0.021544346900318832
47,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.8068897426128387,0.8239130854606629,0.03162277660168379
48,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,0.930539470911026,0.7992753684520721,0.046415888336127774
49,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,1.1727302551269532,0.747826087474823,0.06812920690579612
50,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,1.513217830657959,0.6905797243118286,0.1
51,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,2.1853302121162415,0.5927536427974701,0.1467799267622069
52,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,3.173064112663269,0.4500000089406967,0.21544346900318823
53,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,4.545016241073609,0.284782612323761,0.31622776601683794
54,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,6.07997727394104,0.13695652186870574,0.46415888336127775
55,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,7.433459329605102,0.028985507600009442,0.6812920690579608
56,InceptionV3_aug40_(2023-05-15)_0,InceptionV3,8.293163585662843,0.002898550778627396,1.0
57,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.8235087037086487,0.8565217733383179,0.001
58,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.8440576314926147,0.8500000357627868,0.0014677992676220691
59,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.8374947428703308,0.8550724983215332,0.0021544346900318843
60,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.8406469285488128,0.8601449608802796,0.0031622776601683794
61,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.863159054517746,0.8492753982543946,0.004641588833612777
62,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.8052686035633088,0.8572464108467102,0.006812920690579608
63,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.8368669390678406,0.8536232233047485,0.01
64,MobileNet_aug40_(2023-05-16)_0,MobileNet,0.9410064041614532,0.8434782981872558,0.01467799267622069
65,MobileNet_aug40_(2023-05-16)_0,MobileNet,1.0114975214004516,0.825362354516983,0.021544346900318832
66,MobileNet_aug40_(2023-05-16)_0,MobileNet,1.2139780044555664,0.8036231935024262,0.03162277660168379
67,MobileNet_aug40_(2023-05-16)_0,MobileNet,1.425658404827118,0.7710144877433777,0.046415888336127774
68,MobileNet_aug40_(2023-05-16)_0,MobileNet,1.7923303842544556,0.6978260993957519,0.06812920690579612
69,MobileNet_aug40_(2023-05-16)_0,MobileNet,2.31039354801178,0.6014493048191071,0.1
70,MobileNet_aug40_(2023-05-16)_0,MobileNet,2.9770601272583006,0.48478261232376096,0.1467799267622069
71,MobileNet_aug40_(2023-05-16)_0,MobileNet,4.142317366600037,0.3108695685863495,0.21544346900318823
72,MobileNet_aug40_(2023-05-16)_0,MobileNet,5.3456597328186035,0.13840579688549043,0.31622776601683794
73,MobileNet_aug40_(2023-05-16)_0,MobileNet,6.01399712562561,0.05289855133742094,0.46415888336127775
74,MobileNet_aug40_(2023-05-16)_0,MobileNet,6.435555362701416,0.004347826167941093,0.6812920690579608
75,MobileNet_aug40_(2023-05-16)_0,MobileNet,6.886757850646973,0.0,1.0
76,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.665274977684021,0.8543478608131408,0.001
77,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.6956181585788727,0.8463768482208252,0.0014677992676220691
78,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.6996929407119751,0.8434782981872558,0.0021544346900318843
79,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.7416778564453125,0.8260869979858398,0.0031622776601683794
80,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.8140200972557068,0.8217391669750214,0.004641588833612777
81,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.8565367341041565,0.8086956739425659,0.006812920690579608
82,MobileNet_aug40_(2023-05-18)_0,MobileNet,0.9685873746871948,0.7934782564640045,0.01
83,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.1175224781036377,0.7768115878105164,0.01467799267622069
84,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.2649984002113341,0.7623188376426697,0.021544346900318832
85,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.4322483897209168,0.7355072498321533,0.03162277660168379
86,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.5370393872261048,0.7086956620216369,0.046415888336127774
87,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.6128668308258056,0.6905797243118286,0.06812920690579612
88,MobileNet_aug40_(2023-05-18)_0,MobileNet,1.8503391981124877,0.6485507488250732,0.1
89,MobileNet_aug40_(2023-05-18)_0,MobileNet,2.3093733310699465,0.5652173936367035,0.1467799267622069
90,MobileNet_aug40_(2023-05-18)_0,MobileNet,3.110942578315735,0.43695653676986695,0.21544346900318823
91,MobileNet_aug40_(2023-05-18)_0,MobileNet,4.18858151435852,0.23043478429317474,0.31622776601683794
92,MobileNet_aug40_(2023-05-18)_0,MobileNet,5.165347576141357,0.06884058080613613,0.46415888336127775
93,MobileNet_aug40_(2023-05-18)_0,MobileNet,6.018319320678711,0.004347826167941093,0.6812920690579608
94,MobileNet_aug40_(2023-05-18)_0,MobileNet,6.496416234970093,0.0,1.0
95,MobileNet_aug40_(2023-05-19)_0,MobileNet,0.9137888848781586,0.8260869979858398,0.001
96,MobileNet_aug40_(2023-05-19)_0,MobileNet,0.953172367811203,0.8246377229690551,0.0014677992676220691
97,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.0186805427074432,0.8188406229019165,0.0021544346900318843
98,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.0981924295425416,0.8159420609474182,0.0031622776601683794
99,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.2060274481773376,0.8108695805072784,0.004641588833612777
100,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.3279134273529052,0.8014492809772491,0.006812920690579608
101,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.3941118597984314,0.7927536189556121,0.01
102,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.4722805857658385,0.7905797004699707,0.01467799267622069
103,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.5020145893096923,0.773913037776947,0.021544346900318832
104,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.632152545452118,0.7427536249160767,0.03162277660168379
105,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.7453951239585876,0.710869574546814,0.046415888336127774
106,MobileNet_aug40_(2023-05-19)_0,MobileNet,1.9908489823341369,0.6579710364341735,0.06812920690579612
107,MobileNet_aug40_(2023-05-19)_0,MobileNet,2.470313620567322,0.5782608687877655,0.1
108,MobileNet_aug40_(2023-05-19)_0,MobileNet,3.0973270654678347,0.46521739959716796,0.1467799267622069
109,MobileNet_aug40_(2023-05-19)_0,MobileNet,3.9463576793670656,0.3362318933010101,0.21544346900318823
110,MobileNet_aug40_(2023-05-19)_0,MobileNet,4.829436302185059,0.22971014976501464,0.31622776601683794
111,MobileNet_aug40_(2023-05-19)_0,MobileNet,5.434325456619263,0.12391304448246956,0.46415888336127775
112,MobileNet_aug40_(2023-05-19)_0,MobileNet,5.838103199005127,0.03840579800307751,0.6812920690579608
113,MobileNet_aug40_(2023-05-19)_0,MobileNet,6.075732803344726,0.002898550778627396,1.0
